mmsi,base_date_time,longitude,latitude,sog,cog,heading,vessel_name,imo,call_sign,vessel_type,prev_lat,prev_lon,prev_time,time_diff_seconds,distance_m,implied_speed_knots,movement_anomaly,zero_time_gap,ais_gap,valid_movement
103669999,2025-01-01 00:01:44+00:00,-89.08701,30.3644,0.0,313.1,,MILADY,,,37.0,,,,,,,False,False,False,False
103669999,2025-01-01 00:40:44+00:00,-89.08702,30.3644,0.0,70.4,,MILADY,,,37.0,30.3644,-89.08701,2025-01-01 00:01:44+00:00,2340.0,0.9613182143074516,0.0007985678622646,False,False,True,True
103669999,2025-01-01 00:43:44+00:00,-89.08702,30.3644,0.0,70.4,,MILADY,,,37.0,30.3644,-89.08702,2025-01-01 00:40:44+00:00,180.0,0.0,0.0,False,False,False,True
103669999,2025-01-01 01:07:44+00:00,-89.08703,30.3644,0.0,70.4,,MILADY,,,37.0,30.3644,-89.08702,2025-01-01 00:43:44+00:00,1440.0,0.9613182156735666,0.0012976727780242,False,False,True,True
103669999,2025-01-01 04:49:45+00:00,-89.08702,30.3644,0.0,233.6,,MILADY,,,37.0,30.3644,-89.08703,2025-01-01 01:07:44+00:00,13321.0,0.9613182156735666,0.0001402784175628,False,False,True,True
103669999,2025-01-01 11:19:46+00:00,-89.08702,30.36442,0.0,84.3,,MILADY,,,37.0,30.3644,-89.08702,2025-01-01 04:49:45+00:00,23401.0,2.2171721329214247,0.0001841728079508,False,False,True,True
103669999,2025-01-01 14:40:46+00:00,-89.08703,30.36444,0.0,35.6,,MILADY,,,37.0,30.36442,-89.08702,2025-01-01 11:19:46+00:00,12060.0,2.416605976025296,0.0003895103947294,False,False,True,True
103669999,2025-01-01 16:22:47+00:00,-89.08704,30.36441,0.0,93.1,,MILADY,,,37.0,30.36444,-89.08703,2025-01-01 14:40:46+00:00,6121.0,3.4619069729591314,0.001099394420898,False,False,True,True
103669999,2025-01-01 20:37:44+00:00,-89.08703,30.36446,0.0,70.9,,MILADY,,,37.0,30.36441,-89.08704,2025-01-01 16:22:47+00:00,15297.0,5.625674089675435,0.0007148728719667,False,False,True,True
103669999,2025-01-01 20:43:45+00:00,-89.08703,30.36446,0.0,70.9,,MILADY,,,37.0,30.36446,-89.08703,2025-01-01 20:37:44+00:00,361.0,0.0,0.0,False,False,False,True
103669999,2025-01-01 21:13:46+00:00,-89.08703,30.36447,0.0,90.4,,MILADY,,,37.0,30.36446,-89.08703,2025-01-01 20:43:45+00:00,1801.0,1.1085860755775925,0.001196509693032,False,False,True,True
103669999,2025-01-01 22:01:44+00:00,-89.08702,30.36442,0.0,90.4,,MILADY,,,37.0,30.36447,-89.08703,2025-01-01 21:13:46+00:00,2878.0,5.62567408124596,0.0037996561174736,False,False,True,True
103669999,2025-01-01 23:37:47+00:00,-89.08701,30.36443,0.0,145.6,,MILADY,,,37.0,30.36442,-89.08702,2025-01-01 22:01:44+00:00,5763.0,1.4673429423625528,0.0004949297076317,False,False,True,True
123456789,2025-01-01 00:01:32+00:00,-80.10691,26.11517,0.0,140.2,,ODYSSEY,,ODYSSEY,37.0,,,,,,,False,False,False,False
123456789,2025-01-01 00:04:08+00:00,-80.15757,26.11064,0.0,,,ODYSSEY,,ODYSSEY,37.0,26.11517,-80.10691,2025-01-01 00:01:32+00:00,156.0,5091.899118350042,63.44767424495862,True,False,False,False
123456789,2025-01-01 00:07:06+00:00,-80.15757,26.11066,0.0,,,ODYSSEY,,ODYSSEY,37.0,26.11064,-80.15757,2025-01-01 00:04:08+00:00,178.0,2.2157938054003146,0.0241974642173558,False,False,False,True
123456789,2025-01-01 00:10:06+00:00,-80.15756,26.11065,0.0,,,ODYSSEY,,ODYSSEY,37.0,26.11066,-80.15757,2025-01-01 00:07:06+00:00,180.0,1.4926185908452274,0.0161189540090477,False,False,False,True
123456789,2025-01-01 00:13:04+00:00,-80.15757,26.11065,0.0,,,ODYSSEY,,ODYSSEY,37.0,26.11065,-80.15756,2025-01-01 00:10:06+00:00,178.0,1.0002373689953266,0.0109230416143139,False,False,False,True
123456789,2025-01-01 00:16:04+00:00,-80.15755,26.11065,0.0,,,ODYSSEY,,ODYSSEY,37.0,26.11065,-80.15757,2025-01-01 00:13:04+00:00,180.0,2.000474737990652,0.0216033489705319,False,False,False,True
123456789,2025-01-01 00:19:04+00:00,-80.15758,26.11064,0.0,,,ODYSSEY,,ODYSSEY,37.0,26.11065,-80.15755,2025-01-01 00:16:04+00:00,180.0,3.1987043392713352,0.0345431635713844,False,False,False,True
123456789,2025-01-01 00:22:04+00:00,-80.15754,26.11065,0.0,,,ODYSSEY,,ODYSSEY,37.0,26.11064,-80.15758,2025-01-01 00:19:04+00:00,180.0,4.151509798744688,0.0448326155955104,False,False,False,True
123456789,2025-01-01 00:25:05+00:00,-80.15754,26.11064,0.0,,,ODYSSEY,,ODYSSEY,37.0,26.11065,-80.15754,2025-01-01 00:22:04+00:00,181.0,1.107896902444017,0.0118982006345125,False,False,False,True
123456789,2025-01-01 00:28:05+00:00,-80.15754,26.11065,0.0,,,ODYSSEY,,ODYSSEY,37.0,26.11064,-80.15754,2025-01-01 00:25:05+00:00,180.0,1.107896902444017,0.0119643017491487,False,False,False,True
